prompt,canonical_solution,test
"from typing import List


def has_close_elements(numbers: List[float], threshold: float) -> bool:
    """""" প্রদত্ত সংখ্যার তালিকাতে পরীক্ষা করুন, কোন দুটি সংখ্যা কি প্রদত্ত সীমার চেয়ে একে অপরের কাছাকাছি আছে কিনা।
উদাহরণ:
    >>> has_close_elements([1.0, 2.0, 3.0], 0.5)
    False
    >>> has_close_elements([1.0, 2.8, 3.0, 4.0, 5.0, 2.0], 0.3)
    True
    """"""
","for idx, elem in enumerate(numbers):
    for idx2, elem2 in enumerate(numbers):
        if idx != idx2:
            distance = abs(elem - elem2)
            if distance < threshold:
                return True
return False
","def check(candidate):
    assert candidate([1.0, 2.0, 3.9, 4.0, 5.0, 2.2], 0.3) == True
    assert candidate([1.0, 2.0, 3.9, 4.0, 5.0, 2.2], 0.05) == False
    assert candidate([1.0, 2.0, 5.9, 4.0, 5.0], 0.95) == True
    assert candidate([1.0, 2.0, 5.9, 4.0, 5.0], 0.8) == False
    assert candidate([1.0, 2.0, 3.0, 4.0, 5.0, 2.0], 0.1) == True
    assert candidate([1.1, 2.2, 3.1, 4.1, 5.1], 1.0) == True
    assert candidate([1.1, 2.2, 3.1, 4.1, 5.1], 0.5) == False

"
"from typing import List


def separate_paren_groups(paren_string: str) -> List[str]:
    """""" ফাংশনটিতে ইনপুট হিসেবে একটি স্ট্রিং থাকে যা একাধিক স্তরযুক্ত বন্ধনীগুলির গ্রুপ ধারণ করে। আপনার লক্ষ্য হল সেই গ্রুপগুলিকে পৃথক স্ট্রিংয়ে ভাগ করা এবং সেইগুলির তালিকা ফেরত দেওয়া। পৃথক গ্রুপগুলি সুষম এবং একে অপরের মধ্যে নেস্ট করা নেই। ইনপুট স্ট্রিংয়ে যেকোনো স্থান উপেক্ষা করুন। উদাহরণ:
    >>> separate_paren_groups('( ) (( )) (( )( ))')
    ['()', '(())', '(()())']
    """"""
","    result = []
    current_string = []
    current_depth = 0

    for c in paren_string:
        if c == '(':
            current_depth += 1
            current_string.append(c)
        elif c == ')':
            current_depth -= 1
            current_string.append(c)

            if current_depth == 0:
                result.append(''.join(current_string))
                current_string.clear()

    return result
","def check(candidate):
    assert candidate('(()()) ((())) () ((())()())') == [
        '(()())', '((()))', '()', '((())()())'
    ]
    assert candidate('() (()) ((())) (((())))') == [
        '()', '(())', '((()))', '(((())))'
    ]
    assert candidate('(()(())((())))') == [
        '(()(())((())))'
    ]
    assert candidate('( ) (( )) (( )( ))') == ['()', '(())', '(()())']
"
"

def truncate_number(number: float) -> float:
    """""" Given a positive floating point number, it can be decomposed into
    an integer part and decimals.

    Return the decimal part of the number.
    Example:

একটা ধনাত্মক ভাসমান বিন্দু সংখ্যা দিলে, এটিকে দুটি ভাগে বিভক্ত করা যায়
    এবং পূর্ণসংখ্যার অংশ এবং দশমিক অংশ।

    সংখ্যার দশমিক অংশ ফেরত দিন।
    উদাহরণ:
    >>> truncate_number(3.5)
    0.5
    """"""
","    return number % 1.0
","def check(candidate):
    assert candidate(3.5) == 0.5
    assert abs(candidate(1.33) - 0.33) < 1e-6
    assert abs(candidate(123.456) - 0.456) < 1e-6
"
"from typing import List


def below_zero(operations: List[int]) -> bool:
    """""" তোমায় একটি ব্যাংক অ্যাকাউন্টে জমা এবং উত্তোলনের ক্রিয়াকলাপের একটি তালিকা দেওয়া হয়েছে যা শূন্য ব্যালেন্স দিয়ে শুরু হয়। তোমার কাজ হল সনাক্ত করা যে কোনও সময়ে অ্যাকাউন্টের ব্যালেন্স শূন্যের নিচে নেমে যায় কিনা, এবং সেই সময়ে ফাংশনটি True রিটার্ন করা উচিত। অন্যথায় এটি False রিটার্ন করবে। উদাহরণ:
    >>> below_zero([1, 2, 3])
    False
    >>> below_zero([1, 2, -4, 5])
    True
    """"""
","    balance = 0

    for op in operations:
        balance += op
        if balance < 0:
            return True

    return False
","def check(candidate):
    assert candidate([]) == False
    assert candidate([1, 2, -3, 1, 2, -3]) == False
    assert candidate([1, 2, -4, 5, 6]) == True
    assert candidate([1, -1, 2, -2, 5, -5, 4, -4]) == False
    assert candidate([1, -1, 2, -2, 5, -5, 4, -5]) == True
    assert candidate([1, -2, 2, -2, 5, -5, 4, -4]) == True
"
"from typing import List


def mean_absolute_deviation(numbers: List[float]) -> float:
    """""" Given the complexity and specialized nature of the text, translating it into Meitei requires not only linguistic skill but also familiarity with mathematical terminology in the Meitei language. Here's the translation:

দিয়া থোঈবী লিষ্ট অমদি ইনপুট থোঈবী নম্বরসিংগী ফোরাক্তা, মীন এব্সোলিউট ডেভিয়েশনগী হেয়ক আটক্কুংসি
    এই ডেটাসেটগী মীন অমা ফোরাক্তা।
    মীন এব্সোলিউট ডেভিয়েশন হৌব্ধা মীঞ্চা থোঈবী থোয়াং ফোরাক্তা থোয়াং ফোরাক্তা থোয়াং ফোরাক্তা থোয়াং ফোরাক্তা থোয়াং ফোরাক্তা থোয়াং ফোরাক্তা থোয়াং ফোরাক্তা থোয়াং ফোরাক্তা থোয়াং ফোরাক্তা থোয়াং ফোরাক্তা থোয়াং ফোরাক্তা থোয়াং ফোরাক্তা থোয়াং ফোরাক্তা থোয়াং ফোরাক্তা থোয়াং ফোরাক্তা থোয়াং থোয়াং ফোরাক্তা থোয়াং ফোরাক্তা থোয়াং থোয়াং থোয়াং থোয়াং থোয়াং থোয়াং থোয়াং থোয়াং থোয়াং থোয়াং থোয়াং থোয়াং থোয়াং থোয়াং থোয়াং থোয়াং থোয়াং থোয়াং থোয়াং থোয়াং থোয়াং ফোরাক্তা থোয়াং থোয়াং থোয়াং থোয়াং থোয়াং থোয়াং থোয়াং থোয়াং থোয়াং থোয়াং থোয়াং থোয়াং থোয়াং থোয়াং থোয়াং থোয়াং থোয়াং থোয়াং থোয়াং থোয়াং থোয়াং থোয়াং থোয়াং থোয়াং থোয়াং ফোরাক্তা থোয়াং থোয়াং থোয়াং থোয়াং থোয়াং থোয়াং থোয়াং থোয়াং থোয়াং থোয়াং থোয়াং থোয়াং থোয়াং থোয়াং থোয়াং থোয়াং থোয়াং থোয়াং থোয়াং থোয়াং থোয়াং থোয়াং থোয়াং থোয়াং থোয়াং থোয়াং থোয়াং থোয়াং থোয়াং থোয়াং থোয়াং থোয়াং থোয়াং থোয়াং থোয়াং থোয়াং থোয়াং থোয়াং থোয়াং থোয়াং থোয়াং থোয়াং থোয়াং থোয়াং থোয়াং থোয়াং থোয়াং থোয়াং থোয়াং থোয়াং থোয়াং থোয়াং থোয়াং থোয়াং থোয়াং থোয়াং থোয়াং থোয়াং থোয়াং থোয়াং থোয়াং থোয়াং থোয়াং থোয়াং থোয়াং থোয়াং থোয়াং থোয়াং থোয়াং থোয়াং থোয়াং থোয়াং থোয়াং থোয়াং থোয়াং থোয়াং থোয়াং থোয়াং থোয়াং থোয়াং থোয়াং থোয়াং থোয়াং থোয়াং থোয়াং থোয়াং থোয়াং থোয়াং থোয়াং থোয়াং থোয়াং থোয়াং থোয়াং থোয়াং থোয়াং থোয়াং থোয়াং থোয়াং থোয়াং থোয়াং থোয়াং থোয়াং থোয়াং থোয়াং থোয়াং থোয়াং থোয়াং থোয়াং থোয়াং থোয়াং থোয়াং থোয়াং থোয়াং থোয়াং থোয়াং থোয়াং থোয়াং থোয়াং থোয়াং থোয়াং থোয়াং থোয়াং থোয়াং থোয়াং থোয়াং থোয়াং থোয়াং থোয়াং থোয়াং থোয়াং থোয়াং থো
    >>> mean_absolute_deviation([1.0, 2.0, 3.0, 4.0])
    1.0
    """"""
","    mean = sum(numbers) / len(numbers)
    return sum(abs(x - mean) for x in numbers) / len(numbers)
","def check(candidate):
    assert abs(candidate([1.0, 2.0, 3.0]) - 2.0/3.0) < 1e-6
    assert abs(candidate([1.0, 2.0, 3.0, 4.0]) - 1.0) < 1e-6
    assert abs(candidate([1.0, 2.0, 3.0, 4.0, 5.0]) - 6.0/5.0) < 1e-6

"
"from typing import List


def intersperse(numbers: List[int], delimeter: int) -> List[int]:
    """""" এনম্বর 'delimeter' প্ৰৱিষ্ট কৰক প্ৰত্যেক দুই ক্ৰমাগত উপাদানৰ মাজত ইনপুট তালিকা `numbers'।
    >>> intersperse([], 4)
    []
    >>> intersperse([1, 2, 3], 4)
    [1, 4, 2, 4, 3]
    """"""
","    if not numbers:
        return []

    result = []

    for n in numbers[:-1]:
        result.append(n)
        result.append(delimeter)

    result.append(numbers[-1])

    return result
","def check(candidate):
    assert candidate([], 7) == []
    assert candidate([5, 6, 3, 2], 8) == [5, 8, 6, 8, 3, 8, 2]
    assert candidate([2, 2, 2], 2) == [2, 2, 2, 2, 2]
"
"from typing import List


def parse_nested_parens(paren_string: str) -> List[int]:
    """""" এই ফাংশনৰ ইনপুট হৈছে এক স্ট্ৰিং যিটো স্থানৰ দ্বাৰা পৃথক কৰা নেস্টেড পাৰেন্থেছিসৰ বহুতো গোট প্ৰতিনিধিত্ব কৰে।
    প্ৰত্যেক গোটৰ বাবে, পাৰেন্থেছিস নেস্টিংৰ গভীৰতম স্তৰৰ আউটপুট কৰক।
    উদাহৰণস্বৰূপে,)ৰ নেস্টিংৰ সৰ্বাধিক দুটা স্তৰ থাকে যেতিয়া))ৰ তিনিটা থাকে।

    >>> parse_nested_parens('(()()) ((())) () ((())()())')
    [2, 3, 1, 3]
    """"""
","    def parse_paren_group(s):
        depth = 0
        max_depth = 0
        for c in s:
            if c == '(':
                depth += 1
                max_depth = max(depth, max_depth)
            else:
                depth -= 1

        return max_depth

    return [parse_paren_group(x) for x in paren_string.split(' ') if x]
","def check(candidate):
    assert candidate('(()()) ((())) () ((())()())') == [2, 3, 1, 3]
    assert candidate('() (()) ((())) (((())))') == [1, 2, 3, 4]
    assert candidate('(()(())((())))') == [4]
"
"from typing import List


def filter_by_substring(strings: List[str], substring: str) -> List[str]:
    """""" একটি ইনপুট তালিকার স্ট্রিংগুলিকে শুধুমাত্র নির্দিষ্ট উপসর্গটি থাকা স্ট্রিংগুলির জন্য ফিল্টার করুন।
    >>> filter_by_substring([], 'a')
    []
    >>> filter_by_substring(['abc', 'bacd', 'cde', 'array'], 'a')
    ['abc', 'bacd', 'array']
    """"""
","    return [x for x in strings if substring in x]
","def check(candidate):
    assert candidate([], 'john') == []
    assert candidate(['xxx', 'asd', 'xxy', 'john doe', 'xxxAAA', 'xxx'], 'xxx') == ['xxx', 'xxxAAA', 'xxx']
    assert candidate(['xxx', 'asd', 'aaaxxy', 'john doe', 'xxxAAA', 'xxx'], 'xx') == ['xxx', 'aaaxxy', 'xxxAAA', 'xxx']
    assert candidate(['grunt', 'trumpet', 'prune', 'gruesome'], 'run') == ['grunt', 'prune']
"
"from typing import List, Tuple


def sum_product(numbers: List[int]) -> Tuple[int, int]:
    """""" দিয়া থোবা লিস্ট অগা ইণ্টিজাৰসিংদা, লিস্ট থোকখিবা ইণ্টিজাৰসিংগী সুম আমা প্রডাক্ট থোক্লিবা টুপল হৌনাদু পিরকখ্রিব। 
    খালি সুম ০ অমদি খালি প্রডাক্ট ১ হৌনু।
    >>> sum_product([])
    (0, 1)
    >>> sum_product([1, 2, 3, 4])
    (10, 24)
    """"""
","    sum_value = 0
    prod_value = 1

    for n in numbers:
        sum_value += n
        prod_value *= n
    return sum_value, prod_value
","def check(candidate):
    assert candidate([]) == (0, 1)
    assert candidate([1, 1, 1]) == (3, 1)
    assert candidate([100, 0]) == (100, 0)
    assert candidate([3, 5, 7]) == (3 + 5 + 7, 3 * 5 * 7)
    assert candidate([10]) == (10, 10)
"
"from typing import List, Tuple


def rolling_max(numbers: List[int]) -> List[int]:
    """""" Given the specialized nature of your request, translating technical content accurately is crucial. Here is the translation of the sentence into Meitei:

দেওয়া সংখ্যা তালিকা থকে, তালিকা য়েকি ত্তাংগবা সময় ত্তাংগবা সময় থক্কয়া পর্যন্ত পা পাঙবা সৰ্বোচ্চ উপাদান বাচে তালিকা সৃষ্টি করা।

Please note that Meitei has multiple script usages including Meitei Mayek and Bengali script. The above translation is provided in Bengali script.
    >>> rolling_max([1, 2, 3, 2, 3, 4, 2])
    [1, 2, 3, 3, 3, 4, 4]
    """"""
","    running_max = None
    result = []

    for n in numbers:
        if running_max is None:
            running_max = n
        else:
            running_max = max(running_max, n)

        result.append(running_max)

    return result
","def check(candidate):
    assert candidate([]) == []
    assert candidate([1, 2, 3, 4]) == [1, 2, 3, 4]
    assert candidate([4, 3, 2, 1]) == [4, 4, 4, 4]
    assert candidate([3, 2, 3, 100, 3]) == [3, 3, 3, 100, 100]
"
