prompt,canonical_solution,test
"from typing import List


def has_close_elements(numbers: List[float], threshold: float) -> bool:
    """""" ေပးထားေသာ နံပါတ်စာရင်းက နံပါတ်နှစ်ခုက သတ်မှတ်ထားတဲ့ ကန့်သတ်ချက်ထက် နီးစပ်နေမနေ စစ်ဆေးပါ။
    ဥပမာ:
    >>> has_close_elements([1.0, 2.0, 3.0], 0.5)
    False
    >>> has_close_elements([1.0, 2.8, 3.0, 4.0, 5.0, 2.0], 0.3)
    True
    """"""
","for idx, elem in enumerate(numbers):
    for idx2, elem2 in enumerate(numbers):
        if idx != idx2:
            distance = abs(elem - elem2)
            if distance < threshold:
                return True
return False
","def check(candidate):
    assert candidate([1.0, 2.0, 3.9, 4.0, 5.0, 2.2], 0.3) == True
    assert candidate([1.0, 2.0, 3.9, 4.0, 5.0, 2.2], 0.05) == False
    assert candidate([1.0, 2.0, 5.9, 4.0, 5.0], 0.95) == True
    assert candidate([1.0, 2.0, 5.9, 4.0, 5.0], 0.8) == False
    assert candidate([1.0, 2.0, 3.0, 4.0, 5.0, 2.0], 0.1) == True
    assert candidate([1.1, 2.2, 3.1, 4.1, 5.1], 1.0) == True
    assert candidate([1.1, 2.2, 3.1, 4.1, 5.1], 0.5) == False

"
"from typing import List


def separate_paren_groups(paren_string: str) -> List[str]:
    """""" ဤလုပ်ဆောင်ချက်အတွက် 입력သည် များစွာသော အုပ်စုများပါဝင်သည့် စာသားတစ်ခုဖြစ်သည်။ သင်၏ရည်မှန်းချက်မှာ အုပ်စုများကို သီးခြား စာသားများအဖြစ် ခွဲခြားပြီး၊ ၎င်းတို့ကို စာရင်းအဖြစ် ပြန်ပေးရန်ဖြစ်သည်။ သီးခြား အုပ်စုများသည် ညီမျှခြင်းရှိပြီး၊ အချင်းချင်းနှစ်ထပ်စီမထားချင်းဖြစ်သည်။ 입력 စာသားအတွင်းရှိ အားလုံးသော အပြင်ဘက်အကျယ်အဝန်းများကို မသိမ်းဆည်းပါ။ ဥပမာ:
    >>> separate_paren_groups('( ) (( )) (( )( ))')
    ['()', '(())', '(()())']
    """"""
","    result = []
    current_string = []
    current_depth = 0

    for c in paren_string:
        if c == '(':
            current_depth += 1
            current_string.append(c)
        elif c == ')':
            current_depth -= 1
            current_string.append(c)

            if current_depth == 0:
                result.append(''.join(current_string))
                current_string.clear()

    return result
","def check(candidate):
    assert candidate('(()()) ((())) () ((())()())') == [
        '(()())', '((()))', '()', '((())()())'
    ]
    assert candidate('() (()) ((())) (((())))') == [
        '()', '(())', '((()))', '(((())))'
    ]
    assert candidate('(()(())((())))') == [
        '(()(())((())))'
    ]
    assert candidate('( ) (( )) (( )( ))') == ['()', '(())', '(()())']
"
"

def truncate_number(number: float) -> float:
    """""" အကယ်၍ အပေါင်းဖြစ်သော floating point နံပါတ်တစ်လုံးပေးပါက၊ ၎င်းကို 
    ကိန်းပေါင်းအစိတ်အပိုင်း နှင့် ဒဿမ အဖြစ် ခွဲခြမ်းနိုင်သည်။

    နံပါတ်၏ ဒဿမအစိတ်အပိုင်းကို ပြန်ပေးပါ။
    ဥပမာ:
    >>> truncate_number(3.5)
    0.5
    """"""
","    return number % 1.0
","def check(candidate):
    assert candidate(3.5) == 0.5
    assert abs(candidate(1.33) - 0.33) < 1e-6
    assert abs(candidate(123.456) - 0.456) < 1e-6
"
"from typing import List


def below_zero(operations: List[int]) -> bool:
    """""" သင်သည် သင်၏ဘဏ်အကောင့်တွင် စတင်သော သိသာသောငွေလက်ကျန်မရှိသောအခြေအနေမှ စတင်၍ သွင်းငွေများနှင့်ထုတ်ငွေများ၏စာရင်းကို ရရှိပါသည်။ သင်၏တာဝန်မှာ ဘဏ်အကောင့်၏ငွေလက်ကျန်သည် မည်သည့်အချိန်တွင်မဆို သုညအောက်သို့ကျဆင်းသွားမည်ကို သိရှိရန်ဖြစ်ပြီး၊ ထိုအချိန်တွင် function သည် True ကို ပြန်ပေးသင့်သည်။ အခြားသောအချိန်များတွင် False ကို ပြန်မည်ဖြစ်သည်။
    ဥပမာ:
    >>> below_zero([1, 2, 3])
    False
    >>> below_zero([1, 2, -4, 5])
    True
    """"""
","    balance = 0

    for op in operations:
        balance += op
        if balance < 0:
            return True

    return False
","def check(candidate):
    assert candidate([]) == False
    assert candidate([1, 2, -3, 1, 2, -3]) == False
    assert candidate([1, 2, -4, 5, 6]) == True
    assert candidate([1, -1, 2, -2, 5, -5, 4, -4]) == False
    assert candidate([1, -1, 2, -2, 5, -5, 4, -5]) == True
    assert candidate([1, -2, 2, -2, 5, -5, 4, -4]) == True
"
"from typing import List


def mean_absolute_deviation(numbers: List[float]) -> float:
    """""" အပေးအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းအရင်းမျှမပါဘူး.
    >>> mean_absolute_deviation([1.0, 2.0, 3.0, 4.0])
    1.0
    """"""
","    mean = sum(numbers) / len(numbers)
    return sum(abs(x - mean) for x in numbers) / len(numbers)
","def check(candidate):
    assert abs(candidate([1.0, 2.0, 3.0]) - 2.0/3.0) < 1e-6
    assert abs(candidate([1.0, 2.0, 3.0, 4.0]) - 1.0) < 1e-6
    assert abs(candidate([1.0, 2.0, 3.0, 4.0, 5.0]) - 6.0/5.0) < 1e-6

"
"from typing import List


def intersperse(numbers: List[int], delimeter: int) -> List[int]:
    """""" အဝင်စာရင်း `numbers` ရဲ့ နောက်ဆက်တွဲဒဏ်ရာနှစ်ခုစီအကြားမှာ 'delimeter' ဆိုတဲ့ နံပါတ်တစ်ခု ထည့်ပါ။
    >>> intersperse([], 4)
    []
    >>> intersperse([1, 2, 3], 4)
    [1, 4, 2, 4, 3]
    """"""
","    if not numbers:
        return []

    result = []

    for n in numbers[:-1]:
        result.append(n)
        result.append(delimeter)

    result.append(numbers[-1])

    return result
","def check(candidate):
    assert candidate([], 7) == []
    assert candidate([5, 6, 3, 2], 8) == [5, 8, 6, 8, 3, 8, 2]
    assert candidate([2, 2, 2], 2) == [2, 2, 2, 2, 2]
"
"from typing import List


def parse_nested_parens(paren_string: str) -> List[int]:
    """""" ဤအလုပ်ဆောင်ချက်သို့ ရိုက်ထည့်မည်ဆိုသောအချက်အလက်မှာ ဝိုင်းကောက်ကြောင်းများဖြင့် အုပ်စုများစွာကို ကိုယ်စားပြုသော စာကြောင်းတစ်ကြောင်းဖြစ်သည်။ အုပ်စုတစ်ခုချင်းစီအတွက် ဝိုင်းကောက်ကြောင်းများ၏ အနက်ဆုံးအဆင့်ကို ထုတ်ပြပါ။ ဥပမာ) တွင် အနက်ဆုံးအဆင့်မှာ နှစ်ဆင့်ဖြစ်ပြီး၊)) တွင် သုံးဆင့်ရှိသည်။

    >>> parse_nested_parens('(()()) ((())) () ((())()())')
    [2, 3, 1, 3]
    """"""
","    def parse_paren_group(s):
        depth = 0
        max_depth = 0
        for c in s:
            if c == '(':
                depth += 1
                max_depth = max(depth, max_depth)
            else:
                depth -= 1

        return max_depth

    return [parse_paren_group(x) for x in paren_string.split(' ') if x]
","def check(candidate):
    assert candidate('(()()) ((())) () ((())()())') == [2, 3, 1, 3]
    assert candidate('() (()) ((())) (((())))') == [1, 2, 3, 4]
    assert candidate('(()(())((())))') == [4]
"
"from typing import List


def filter_by_substring(strings: List[str], substring: str) -> List[str]:
    """""" ပေးထားသော စာကြောင်းအပိုင်းအချို့ ပါဝင်သော စာကြောင်းများကိုသာ စစ်ထုတ်ပါ
    >>> filter_by_substring([], 'a')
    []
    >>> filter_by_substring(['abc', 'bacd', 'cde', 'array'], 'a')
    ['abc', 'bacd', 'array']
    """"""
","    return [x for x in strings if substring in x]
","def check(candidate):
    assert candidate([], 'john') == []
    assert candidate(['xxx', 'asd', 'xxy', 'john doe', 'xxxAAA', 'xxx'], 'xxx') == ['xxx', 'xxxAAA', 'xxx']
    assert candidate(['xxx', 'asd', 'aaaxxy', 'john doe', 'xxxAAA', 'xxx'], 'xx') == ['xxx', 'aaaxxy', 'xxxAAA', 'xxx']
    assert candidate(['grunt', 'trumpet', 'prune', 'gruesome'], 'run') == ['grunt', 'prune']
"
"from typing import List, Tuple


def sum_product(numbers: List[int]) -> Tuple[int, int]:
    """""" ပေးထားသော အင်တဂါများ စာရင်းအတွက် စုစုပေါင်းနှင့် ထုတ်လဒ်တို့ပါဝင်သည့် တူပယ်ကို ပြန်ပေးပါ။ ဥပမာအားဖြင့် စာရင်းမှာ ဘာမှ မပါလျှင် စုစုပေါင်းသည် 0 နှင့် ထုတ်လဒ်သည် 1 ဖြစ်ရမည်။
    >>> sum_product([])
    (0, 1)
    >>> sum_product([1, 2, 3, 4])
    (10, 24)
    """"""
","    sum_value = 0
    prod_value = 1

    for n in numbers:
        sum_value += n
        prod_value *= n
    return sum_value, prod_value
","def check(candidate):
    assert candidate([]) == (0, 1)
    assert candidate([1, 1, 1]) == (3, 1)
    assert candidate([100, 0]) == (100, 0)
    assert candidate([3, 5, 7]) == (3 + 5 + 7, 3 * 5 * 7)
    assert candidate([10]) == (10, 10)
"
"from typing import List, Tuple


def rolling_max(numbers: List[int]) -> List[int]:
    """""" ပေးထားသော ကိန်းဂဏန်းများစာရင်းမှ ပေးထားသော အချိန်အထိတွေ့ရှိသော အများဆုံးတန်ဖိုးဖြင့် စာရင်းတစ်ခုကို ဖေါ်ထုတ်ပါ။
    >>> rolling_max([1, 2, 3, 2, 3, 4, 2])
    [1, 2, 3, 3, 3, 4, 4]
    """"""
","    running_max = None
    result = []

    for n in numbers:
        if running_max is None:
            running_max = n
        else:
            running_max = max(running_max, n)

        result.append(running_max)

    return result
","def check(candidate):
    assert candidate([]) == []
    assert candidate([1, 2, 3, 4]) == [1, 2, 3, 4]
    assert candidate([4, 3, 2, 1]) == [4, 4, 4, 4]
    assert candidate([3, 2, 3, 100, 3]) == [3, 3, 3, 100, 100]
"
